>>Per sequence GC content	warn
#GC Content	Count
0	0.0
1	0.0
2	0.0
3	0.0
4	0.5
5	0.5
6	0.5
7	1.0
8	1.0
9	1.5
10	1.0
11	1.5
12	3.5
13	3.5
14	3.0
15	4.5
16	6.5
17	4.5
18	2.0
19	3.0
20	3.5
21	2.0
22	1.5
23	2.0
24	3.5
25	4.5
26	6.5
27	9.5
28	10.0
29	9.5
30	11.5
31	20.0
32	19.5
33	15.5
34	22.5
35	29.0
36	33.0
37	36.0
38	40.0
39	48.0
40	60.0
41	70.5
42	81.0
43	95.5
44	108.5
45	118.0
46	123.0
47	153.5
48	180.5
49	209.5
50	232.5
51	239.5
52	247.0
53	248.0
54	242.0
55	224.5
56	214.5
57	190.0
58	164.0
59	136.0
60	116.0
61	97.5
62	71.0
63	57.5
64	44.5
65	29.0
66	22.0
67	16.0
68	10.0
69	7.0
70	2.5
71	1.0
72	2.5
73	2.0
74	0.0
75	0.0
76	0.0
77	0.5
78	0.5
79	0.0
80	0.0
81	0.0
82	0.0
83	0.0
84	0.0
85	0.0
86	0.0
87	0.0
88	0.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
